;TripID;Questionnaire;Income;Gender;Age;Occupation;Education;HouseHoldSize;HouseHold16;driversLicense;carAvail;OriginLoc;DestLoc;Origin;Destination;startActiv;endActiv;tripStart_time;tripEnd_time;tripDuration;mode;TripDay;realTravelTime.Walk;realShortestDistance.Walk;realTransfer.Walk;realTravelTime.Car;realShortestDistance.Car;realTransfer.Car;realTravelTime.MrC;realShortestDistance.MrC;realTransfer.MrC;realTravelTime.Bus;realShortestDistance.Bus;realTransfer.Bus;realAccessWalkTime.Bus;realAccessWalkDist.Bus;realEgressWalkTime.Bus;realEgressWalkDist.Bus;realWaitingTime.Bus;EdPrimary;EdHighSchool;EdLyceum;EdUniversity;EdMSc;EdPhD;EdNoEducation;endMunic1;endMunic2;endMunic3;endMunic4;endMunic5;endMunic6;endMunic7;endMunic8;endMunic9;endMunic10;endMunic11;startMunic1;startMunic2;startMunic3;startMunic4;startMunic5;startMunic6;startMunic7;startMunic8;startMunic9;startMunic10;startMunic11;endHome;endWork;endLeisure;endShopping;endHealthActivities;endSports;endOther;startHome;startWork;startLeisure;startShopping;startHealthActivities;startSports;startOther;startPersonalActivities;Unemployed;Retired;Employed;Houseworks;Unemployed_other;Student;InZone
1;1247;607;<10000;Male;25-34;Unemployed;University;1;1;1;FALSE;5;6;105;903;Leisure;Home;22:30:00;23:15:00;45;Walk;Τετάρτη;22553;30384;0;2618;33855;0;2618;33855;0;4155;2618;2;252;392;223;271;NA;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;NA
2;1243;607;<10000;Male;25-34;Unemployed;University;1;1;1;FALSE;1;2;903;178;Home;School;11:00:00;11:30:00;30;Walk;Τετάρτη;21939;29438;0;2342;32801;0;2342;32801;0;4303;2342;2;176;271;286;315;NA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;NA
3;1830;867;10000-20000;Male;65+;Retired;University;4;4;1;TRUE;1;2;937;634;Home;Shopping;9:00:00;9:15:00;15;Walk;Πέμπτη;20059;27574;0;2211;36191;0;2211;36191;0;5240;2211;3;516;659;59;70;NA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
4;3375;1530;<10000;Female;65+;Retired;HighSchool;1;1;1;FALSE;2;3;401;786;OtherMeetings;Home;13:30:00;14:25:00;55;Walk;Σάββατο;14990;21078;0;1641;29175;0;1641;29175;0;4658;1641;3;1995;9824;529;702;NA;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
5;7165;3293;ΔΞ/ΔΑ;Female;55-64;Retired;Lyceum;5;5;1;TRUE;1;2;716;903;Home;PersonalActivities;9:00:00;10:15:00;75;Walk;Παρασκευή;8324;11037;0;1067;12937;0;1067;12937;0;2739;1067;2;673;855;833;1069;NA;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;NA
6;7166;3293;ΔΞ/ΔΑ;Female;55-64;Retired;Lyceum;5;5;1;TRUE;2;3;903;716;PersonalActivities;Home;12:00:00;12:15:00;15;Walk;Παρασκευή;7993;11037;0;1110;13311;0;1110;13311;0;2385;1110;2;249;402;592;858;NA;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;NA
7;8656;3956;ΔΞ/ΔΑ;Male;16-24;Student;HighSchool;4;4;0;TRUE;1;2;904;517;Home;School;8:00:00;8:30:00;30;Walk;Τετάρτη;6910;8873;0;1139;15877;0;1139;15877;0;2847;1139;2;211;276;120;119;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;NA
8;464;239;10000-20000;Female;45-54;Unemployed;University;7;2;0;TRUE;1;2;932;701;Home;Shopping;11:00:00;9:15:00;15;Walk;Τρίτη;6884;9399;0;603;8828;0;603;8828;0;2726;603;2;1534;12527;115;139;NA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;NA
9;8657;3956;ΔΞ/ΔΑ;Male;16-24;Student;HighSchool;4;4;0;TRUE;2;3;517;904;School;Home;14:00:00;14:30:00;30;Walk;Τετάρτη;6615;8868;0;1163;15245;0;1163;15245;0;1984;1163;2;54;93;292;406;NA;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA
10;9468;4350;<10000;Male;25-34;Employed;University;1;1;1;FALSE;2;3;213;603;Work;OtherMeetings;14:55:00;15:20:00;25;Walk;Πέμπτη;6560;8399;0;1315;12975;0;1315;12975;0;2832;1315;2;101;140;465;497;NA;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA
